"Ver_Seg","Status","LDate","Litho","Rec_Price","NumCores","NumThreads","ProcBaseMem","MaxTurboFreq","TDP","MaxMemSize","MaxMemBW","GraphicBaseFreq","GraphicMaxDFreq","MaxNumPCIExpressLanes","T"
3,4,"Q3'16",14,393,2,4,1300,"3.6",4.5,16,29.8,300,1050,10,100
3,4,"Q3'17",14,297,4,8,1600,"3.4",15,32,34.1,300,1100,12,100
3,4,"Q3'17",14,409,4,8,1800,"4",15,32,34.1,300,1150,12,100
1,3,"Q1'12",32,305,4,8,3600,"3.8",130,64.23,51.2,NA,NA,40,66.8
3,4,"Q1'17",14,281,2,4,1200,"3.3",4.5,16,29.8,300,950,10,100
3,4,"Q1'15",14,107,2,2,1500,NA,15,16,25.6,100,800,12,105
3,4,"Q3'13",22,NA,2,2,1460,NA,4.3,4,NA,313,667,4,80
1,4,"Q3'13",22,NA,2,2,2410,NA,10,8,NA,688,750,4,100
1,4,"Q1'13",22,42,2,2,2600,NA,55,32,21,650,1050,NA,NA
3,2,NA,90,NA,1,NA,2800,NA,88,NA,NA,NA,NA,NA,75
3,4,"Q3'12",22,134,2,2,2400,NA,35,32,25.6,650,1100,1,90
3,2,NA,90,NA,1,NA,1300,NA,5.5,NA,NA,NA,NA,NA,100
3,4,"Q1'15",14,161,2,4,1900,NA,15,16,25.6,300,850,12,105
3,4,"Q3'15",14,161,2,4,2100,NA,15,32,34.1,300,950,10,100
3,4,"Q1'16",14,161,4,4,1600,NA,6,8,NA,400,NA,4,90
2,4,"Q4'15",NA,7.75,1,1,32,NA,NA,NA,NA,NA,NA,NA,NA
1,4,"Q3'13",22,94,4,4,2410,NA,10,8,NA,688,854,4,100
1,4,"Q4'13",22,94,4,4,2410,NA,10,8,21.3,688,896,4,105
1,4,"Q1'16",14,NA,4,4,1600,NA,6.5,8,NA,400,NA,4,90
1,4,NA,14,161,4,4,1500,NA,10,8,NA,250,NA,6,105
3,4,"Q1'15",14,161,4,4,1600,NA,6,8,NA,400,NA,4,90
3,4,"Q3'13",22,NA,4,4,2000,NA,7.5,8,NA,313,750,4,100
3,4,"Q4'13",22,161,4,4,2170,NA,7.5,8,NA,313,854,4,105
3,4,"Q1'14",22,161,4,4,2160,NA,7.5,8,NA,313,896,4,100
3,4,"Q3'14",22,161,4,4,2160,NA,7.5,8,21.32,313,896,4,100
